[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train_win=15136 val_win=788 | train_clips=1899 val_clips=99 | mouth_in=768 (student feats)
[semantic] step 100 loss 5.203 | val retrieval_acc 0.010 hardneg_acc 0.503 | best -1.000 (chance: acc~0.010, hn 0.5)
[semantic] step 200 loss 5.063 | val retrieval_acc 0.012 hardneg_acc 0.525 | best 0.503 (chance: acc~0.010, hn 0.5)
[semantic] step 300 loss 4.984 | val retrieval_acc 0.014 hardneg_acc 0.534 | best 0.525 (chance: acc~0.010, hn 0.5)
[semantic] step 400 loss 4.921 | val retrieval_acc 0.016 hardneg_acc 0.557 | best 0.534 (chance: acc~0.010, hn 0.5)
[semantic] step 500 loss 4.743 | val retrieval_acc 0.015 hardneg_acc 0.558 | best 0.557 (chance: acc~0.010, hn 0.5)
[semantic] step 600 loss 4.504 | val retrieval_acc 0.009 hardneg_acc 0.556 | best 0.558 (chance: acc~0.010, hn 0.5)
[semantic] step 700 loss 4.395 | val retrieval_acc 0.015 hardneg_acc 0.588 | best 0.558 (chance: acc~0.010, hn 0.5)
[semantic] step 800 loss 4.294 | val retrieval_acc 0.017 hardneg_acc 0.589 | best 0.588 (chance: acc~0.010, hn 0.5)
[semantic] step 900 loss 4.215 | val retrieval_acc 0.020 hardneg_acc 0.603 | best 0.589 (chance: acc~0.010, hn 0.5)
[semantic] step 1000 loss 4.033 | val retrieval_acc 0.014 hardneg_acc 0.580 | best 0.603 (chance: acc~0.010, hn 0.5)
[semantic] step 1100 loss 3.828 | val retrieval_acc 0.015 hardneg_acc 0.586 | best 0.603 (chance: acc~0.010, hn 0.5)
[semantic] step 1200 loss 3.805 | val retrieval_acc 0.017 hardneg_acc 0.609 | best 0.603 (chance: acc~0.010, hn 0.5)
[semantic] step 1300 loss 3.803 | val retrieval_acc 0.020 hardneg_acc 0.585 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1400 loss 3.597 | val retrieval_acc 0.017 hardneg_acc 0.602 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1500 loss 3.485 | val retrieval_acc 0.015 hardneg_acc 0.595 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1600 loss 3.524 | val retrieval_acc 0.019 hardneg_acc 0.608 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1700 loss 3.127 | val retrieval_acc 0.013 hardneg_acc 0.605 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1800 loss 3.415 | val retrieval_acc 0.020 hardneg_acc 0.605 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 1900 loss 3.252 | val retrieval_acc 0.015 hardneg_acc 0.596 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2000 loss 3.394 | val retrieval_acc 0.022 hardneg_acc 0.605 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2100 loss 3.065 | val retrieval_acc 0.021 hardneg_acc 0.588 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2200 loss 3.341 | val retrieval_acc 0.021 hardneg_acc 0.605 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2300 loss 2.973 | val retrieval_acc 0.023 hardneg_acc 0.595 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2400 loss 3.024 | val retrieval_acc 0.022 hardneg_acc 0.616 | best 0.609 (chance: acc~0.010, hn 0.5)
[semantic] step 2500 loss 2.860 | val retrieval_acc 0.018 hardneg_acc 0.617 | best 0.616 (chance: acc~0.010, hn 0.5)
[semantic] step 2600 loss 3.043 | val retrieval_acc 0.012 hardneg_acc 0.610 | best 0.617 (chance: acc~0.010, hn 0.5)
