[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train clips=60479 val clips=3186
params=70.3M device=cuda
resume last.pt: step 38000 -> 38001, best 7.0367@32000
step 79500 val_loss 7.1814 val_acc 0.0436 | best 7.0367@32000
step 80000 val_loss 7.2245 val_acc 0.0431 | best 7.0367@32000
step 80500 val_loss 7.2114 val_acc 0.0431 | best 7.0367@32000
step 81000 val_loss 7.1907 val_acc 0.0435 | best 7.0367@32000
step 81500 val_loss 7.2473 val_acc 0.0436 | best 7.0367@32000
step 82000 val_loss 7.2284 val_acc 0.0433 | best 7.0367@32000
step 82500 val_loss 7.2106 val_acc 0.0433 | best 7.0367@32000
step 83000 val_loss 7.2061 val_acc 0.0435 | best 7.0367@32000
step 83500 val_loss 7.2406 val_acc 0.0433 | best 7.0367@32000
step 84000 val_loss 7.2519 val_acc 0.0431 | best 7.0367@32000
step 84500 val_loss 7.2238 val_acc 0.0433 | best 7.0367@32000
step 85000 val_loss 7.1901 val_acc 0.0436 | best 7.0367@32000
step 85500 val_loss 7.2409 val_acc 0.0431 | best 7.0367@32000
step 86000 val_loss 7.2377 val_acc 0.0432 | best 7.0367@32000
step 86500 val_loss 7.2339 val_acc 0.0435 | best 7.0367@32000
step 87000 val_loss 7.1918 val_acc 0.0436 | best 7.0367@32000
step 87500 val_loss 7.2516 val_acc 0.0432 | best 7.0367@32000
step 88000 val_loss 7.2469 val_acc 0.0433 | best 7.0367@32000
step 88500 val_loss 7.2346 val_acc 0.0437 | best 7.0367@32000
step 89000 val_loss 7.2188 val_acc 0.0437 | best 7.0367@32000
step 89500 val_loss 7.2600 val_acc 0.0433 | best 7.0367@32000
step 90000 val_loss 7.2379 val_acc 0.0432 | best 7.0367@32000
step 90500 val_loss 7.2179 val_acc 0.0435 | best 7.0367@32000
step 91000 val_loss 7.2446 val_acc 0.0434 | best 7.0367@32000
step 91500 val_loss 7.2606 val_acc 0.0431 | best 7.0367@32000
step 92000 val_loss 7.2511 val_acc 0.0434 | best 7.0367@32000
step 92500 val_loss 7.2319 val_acc 0.0434 | best 7.0367@32000
step 93000 val_loss 7.2797 val_acc 0.0431 | best 7.0367@32000
step 93500 val_loss 7.2618 val_acc 0.0432 | best 7.0367@32000
step 94000 val_loss 7.2416 val_acc 0.0431 | best 7.0367@32000
step 94500 val_loss 7.2360 val_acc 0.0436 | best 7.0367@32000
step 95000 val_loss 7.2967 val_acc 0.0430 | best 7.0367@32000
step 95500 val_loss 7.2672 val_acc 0.0430 | best 7.0367@32000
step 96000 val_loss 7.2495 val_acc 0.0433 | best 7.0367@32000
step 96500 val_loss 7.2475 val_acc 0.0436 | best 7.0367@32000
step 97000 val_loss 7.2971 val_acc 0.0431 | best 7.0367@32000
step 97500 val_loss 7.2841 val_acc 0.0431 | best 7.0367@32000
step 98000 val_loss 7.2678 val_acc 0.0433 | best 7.0367@32000
step 98500 val_loss 7.2928 val_acc 0.0434 | best 7.0367@32000
step 99000 val_loss 7.2995 val_acc 0.0433 | best 7.0367@32000
step 99500 val_loss 7.2712 val_acc 0.0432 | best 7.0367@32000
step 100000 val_loss 7.2612 val_acc 0.0433 | best 7.0367@32000
step 100500 val_loss 7.3139 val_acc 0.0431 | best 7.0367@32000
step 101000 val_loss 7.2983 val_acc 0.0431 | best 7.0367@32000
step 101500 val_loss 7.2766 val_acc 0.0432 | best 7.0367@32000
step 102000 val_loss 7.2683 val_acc 0.0434 | best 7.0367@32000
step 102500 val_loss 7.3224 val_acc 0.0430 | best 7.0367@32000
step 103000 val_loss 7.2900 val_acc 0.0430 | best 7.0367@32000
step 103500 val_loss 7.2996 val_acc 0.0432 | best 7.0367@32000
step 104000 val_loss 7.2791 val_acc 0.0433 | best 7.0367@32000
step 104500 val_loss 7.3119 val_acc 0.0429 | best 7.0367@32000
step 105000 val_loss 7.3108 val_acc 0.0431 | best 7.0367@32000
step 105500 val_loss 7.2849 val_acc 0.0432 | best 7.0367@32000
step 106000 val_loss 7.2842 val_acc 0.0433 | best 7.0367@32000
step 106500 val_loss 7.3080 val_acc 0.0430 | best 7.0367@32000
step 107000 val_loss 7.2992 val_acc 0.0430 | best 7.0367@32000
