[vidtok.models.autoencoder][AutoencodingEngine] Use ckpt_path: 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt
[vidtok.models.autoencoder][AutoencodingEngine] Restored from 
/beegfs/work/achakraborti/SANG/checkpoints/vidtok_fsq_causal_488_32768.ckpt with
0 missing and 56 unexpected keys
train_win=6056 val_win=319 | train_clips=760 val_clips=40
step 100 loss 5.222 | val retrieval_acc 0.015 hardneg_acc 0.479 | best -1.000 (chance: acc~0.025, hn 0.5)
step 200 loss 5.196 | val retrieval_acc 0.009 hardneg_acc 0.465 | best 0.479 (chance: acc~0.025, hn 0.5)
step 300 loss 5.175 | val retrieval_acc 0.013 hardneg_acc 0.516 | best 0.479 (chance: acc~0.025, hn 0.5)
step 400 loss 5.193 | val retrieval_acc 0.006 hardneg_acc 0.484 | best 0.516 (chance: acc~0.025, hn 0.5)
step 500 loss 5.165 | val retrieval_acc 0.034 hardneg_acc 0.513 | best 0.516 (chance: acc~0.025, hn 0.5)
step 600 loss 5.035 | val retrieval_acc 0.018 hardneg_acc 0.469 | best 0.516 (chance: acc~0.025, hn 0.5)
step 700 loss 5.080 | val retrieval_acc 0.008 hardneg_acc 0.520 | best 0.516 (chance: acc~0.025, hn 0.5)
step 800 loss 5.116 | val retrieval_acc 0.011 hardneg_acc 0.511 | best 0.520 (chance: acc~0.025, hn 0.5)
step 900 loss 4.918 | val retrieval_acc 0.009 hardneg_acc 0.485 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1000 loss 5.010 | val retrieval_acc 0.013 hardneg_acc 0.493 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1100 loss 4.881 | val retrieval_acc 0.005 hardneg_acc 0.499 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1200 loss 4.919 | val retrieval_acc 0.014 hardneg_acc 0.489 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1300 loss 4.861 | val retrieval_acc 0.026 hardneg_acc 0.479 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1400 loss 4.819 | val retrieval_acc 0.016 hardneg_acc 0.505 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1500 loss 4.886 | val retrieval_acc 0.029 hardneg_acc 0.495 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1600 loss 4.752 | val retrieval_acc 0.020 hardneg_acc 0.490 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1700 loss 4.711 | val retrieval_acc 0.015 hardneg_acc 0.509 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1800 loss 4.666 | val retrieval_acc 0.019 hardneg_acc 0.526 | best 0.520 (chance: acc~0.025, hn 0.5)
step 1900 loss 4.589 | val retrieval_acc 0.020 hardneg_acc 0.511 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2000 loss 4.623 | val retrieval_acc 0.020 hardneg_acc 0.524 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2100 loss 4.487 | val retrieval_acc 0.020 hardneg_acc 0.510 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2200 loss 4.642 | val retrieval_acc 0.019 hardneg_acc 0.484 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2300 loss 4.682 | val retrieval_acc 0.023 hardneg_acc 0.501 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2400 loss 4.577 | val retrieval_acc 0.031 hardneg_acc 0.504 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2500 loss 4.402 | val retrieval_acc 0.020 hardneg_acc 0.513 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2600 loss 4.548 | val retrieval_acc 0.029 hardneg_acc 0.536 | best 0.526 (chance: acc~0.025, hn 0.5)
step 2700 loss 4.599 | val retrieval_acc 0.023 hardneg_acc 0.521 | best 0.536 (chance: acc~0.025, hn 0.5)
step 2800 loss 4.564 | val retrieval_acc 0.036 hardneg_acc 0.485 | best 0.536 (chance: acc~0.025, hn 0.5)
step 2900 loss 4.464 | val retrieval_acc 0.035 hardneg_acc 0.506 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3000 loss 4.491 | val retrieval_acc 0.028 hardneg_acc 0.480 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3100 loss 4.522 | val retrieval_acc 0.026 hardneg_acc 0.511 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3200 loss 4.675 | val retrieval_acc 0.025 hardneg_acc 0.485 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3300 loss 4.398 | val retrieval_acc 0.023 hardneg_acc 0.498 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3400 loss 4.451 | val retrieval_acc 0.031 hardneg_acc 0.528 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3500 loss 4.615 | val retrieval_acc 0.021 hardneg_acc 0.471 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3600 loss 4.441 | val retrieval_acc 0.025 hardneg_acc 0.506 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3700 loss 4.340 | val retrieval_acc 0.024 hardneg_acc 0.505 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3800 loss 4.312 | val retrieval_acc 0.014 hardneg_acc 0.485 | best 0.536 (chance: acc~0.025, hn 0.5)
step 3900 loss 4.607 | val retrieval_acc 0.024 hardneg_acc 0.473 | best 0.536 (chance: acc~0.025, hn 0.5)
step 4000 loss 4.423 | val retrieval_acc 0.026 hardneg_acc 0.488 | best 0.536 (chance: acc~0.025, hn 0.5)
DONE best val hardneg_acc = 0.536
